SHRINE QUERY RESULTS (OBFUSCATED PATIENT COUNTS),Site,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6,Site 7,Site 8,Site 9,Site 10,Site 11,Site 12,Site 13,Site 14,Site 15,Site 16
All Patients,,Site Error,480,Site Error,Site Error,Site Error,95,435,500,Site Error,350,440,Site Error,Site Error,80,10 patients or fewer,Site Error
Elixhauser Comorbidities Acquired immune deficiency syndrome ,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Alcohol abuse ,,unavailable,30,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,20,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Anemias due to other nutritional deficiencies (POA),,unavailable,45,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,75,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Autoimmune conditions,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,20,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Cerebrovascular disease (POA),,unavailable,25,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,35,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Cerebrovascular disease (SQLA),,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Chronic blood loss (iron deficiency) (POA),,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Chronic pulmonary disease ,,unavailable,40,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,75,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Coagulopathy  (POA),,unavailable,25,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,20,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Dementia ,,unavailable,50,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,110,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Depression,,unavailable,105,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,165,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Diabetes with chronic complications ,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,40,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Diabetes without chronic complications ,,unavailable,20,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,40,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Drug abuse ,,unavailable,25,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,15,unavailable,unavailable,unavailable,unavailable,unavailable
Elixhauser Comorbidities Heart failure  (POA),,unavailable,15,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,30,unavailable,unavailable,unavailable,unavailable,unavailable
