"Site","Status"
"BIDMC","Sent to Site"
"Harvard-Mass General Brigham","25"
"Kansas U (Not Active)","Sent to Site"
"MCW Test Node","Sent to Site"
"PennMedicine (Not Active)","Sent to Site"
"U Rochester","10 patients or fewer"
"UAB","10 patients or fewer"
"UC Davis Test","30"
"UCLA","Site Error"
"UCSD","10 patients or fewer"
"UPitt","35"
"USC Keck","Sent to Site"
"UTSW","Sent to Site"
"University of Missouri","10 patients or fewer"
"Washington University in St.Louis","10 patients or fewer"
"shrine-bidmc-test","Sent to Site"
