SHRINE QUERY RESULTS (OBFUSCATED PATIENT COUNTS),Site,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6,Site 7,Site 8,Site 9,Site 10,Site 11,Site 12,Site 13,Site 14,Site 15,Site 16
All Patients,,Sent to Site,55,Sent to Site,Sent to Site,Sent to Site,10 patients or fewer,275,115,Site Error,25,135,Sent to Site,Sent to Site,25,10 patients or fewer,Sent to Site
Demographic Distribution by Age 0-9 years old,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,10 patients or fewer,10 patients or fewer,unavailable,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Age 10-17 years old,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,10 patients or fewer,10 patients or fewer,unavailable,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Age 18-34 years old,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,20,10 patients or fewer,unavailable,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Age 35-44 years old,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,40,10 patients or fewer,unavailable,10 patients or fewer,20,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Age 45-54 years old,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,65,10 patients or fewer,unavailable,10 patients or fewer,25,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Age 55-64 years old,,unavailable,20,unavailable,unavailable,unavailable,10 patients or fewer,75,25,unavailable,10 patients or fewer,30,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Age 65-74 years old,,unavailable,15,unavailable,unavailable,unavailable,10 patients or fewer,40,25,unavailable,10 patients or fewer,30,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Age 75-84 years old,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,30,30,unavailable,10 patients or fewer,40,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Age 85-89 years old,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,10 patients or fewer,10 patients or fewer,unavailable,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Age (adults) >= 18 years old,,unavailable,55,unavailable,unavailable,unavailable,10 patients or fewer,270,115,unavailable,25,135,unavailable,unavailable,25,10 patients or fewer,unavailable
Demographic Distribution by Age (children) < 18 years old,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,10 patients or fewer,10 patients or fewer,unavailable,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Age >= 65 years old,,unavailable,30,unavailable,unavailable,unavailable,10 patients or fewer,80,60,unavailable,25,65,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Age >= 85 years old,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,10 patients or fewer,10 patients or fewer,unavailable,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Age >= 90 years old,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,10 patients or fewer,10 patients or fewer,unavailable,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
Demographic Distribution by Age Not recorded,,unavailable,10 patients or fewer,unavailable,unavailable,unavailable,10 patients or fewer,10 patients or fewer,10 patients or fewer,unavailable,10 patients or fewer,10 patients or fewer,unavailable,unavailable,10 patients or fewer,10 patients or fewer,unavailable
