"Site","Status"
"Arkansas-Childrens","Sent to Site"
"Boston U","635"
"CU Colorado","Sent to Site"
"Childrens National","Sent to Site"
"Cincinnati-Childrens","150"
"Colorado-Childrens","10 patients or fewer"
"Columbia","Processing at Hub"
"Duke","Sent to Site"
"Emory","Sent to Site"
"Harvard-BIDMC","Sent to Site"
"Harvard-Mass General Brigham","885"
"Indiana-Regenstrief","10 patients or fewer"
"Johns Hopkins","Sent to Site"
"Kansas U","Sent to Site"
"MUSC","Processing at Hub"
"Mayo Clinic","Sent to Site"
"Medical College of WI","3090"
"Morehouse","95"
"OHSU - Oregon","Site Error"
"Ohio State U","Sent to Site"
"Penn State","775"
"Scripps","10 patients or fewer"
"Stanford","Sent to Site"
"TuftsMC","Sent to Site"
"U Alabama Birmingham","1450"
"U Arkansas","10 patients or fewer"
"U Florida","Site Error"
"U Illinois-Chicago","10 patients or fewer"
"U Kentucky","Processing at Hub"
"U Michigan","235"
"U Minnesota","6595"
"U Missouri","415"
"U Pittsburgh","8230"
"U Rochester","1485"
"U Utah","Delayed At Site"
"U Virginia","Sent to Site"
"U Washington","10 patients or fewer"
"U Wisconsin-Madison","Sent to Site"
"UC Davis","250"
"UC Irvine","Sent to Site"
"UC Los Angeles","1620"
"UC San Diego","585"
"UNC-Chapel Hill","Sent to Site"
"USC Keck Medicine","210"
"UT HSC San Antonio","Sent to Site"
"UT Medical Branch","Sent to Site"
"UT Southwestern","2830"
"UTHealth","10 patients or fewer"
"Vanderbilt","Sent to Site"
"Virginia Commonwealth","Site Error"
"Wake Forest","Site Error"
"Washington University in St.Louis","10 patients or fewer"
"Weill Cornell","Sent to Site"
"shrine-act-bidmc","Processing at Site"
